 , degree, betweeness, closeness, random
0.00000, 1.00000, 1.00000, 1.00000, 0.99986
0.21273, 0.47063, 2.21231, 0.47063, 0.99982
0.42546, 0.47334, 2.22504, 0.47334, 0.99980
0.63820, 0.37896, 1.67287, 0.35587, 0.99983
0.85093, 0.32475, 1.52657, 0.32475, 1.00474
1.06366, 0.32539, 1.47645, 0.32539, 1.00483
1.27639, 0.32522, 1.47887, 0.31460, 1.00482
1.48912, 0.31550, 1.48310, 0.31550, 1.00447
1.70185, 0.32265, 1.48336, 0.31556, 1.00483
1.91459, 0.32274, 1.51208, 0.32167, 1.00485
2.12732, 0.29674, 1.45604, 0.32157, 1.00499
2.34005, 0.29757, 1.38780, 0.32166, 1.00501
2.55278, 0.29297, 1.38815, 0.29830, 1.00498
2.76551, 0.29433, 1.32593, 0.29453, 1.00508
2.97825, 0.28289, 1.33461, 0.28391, 1.00500
3.19098, 0.28406, 1.36062, 0.28485, 1.00514
3.40371, 0.28040, 1.36522, 0.28501, 1.00518
3.61644, 0.26672, 1.27534, 0.28794, 1.00523
3.82917, 0.26020, 1.27544, 0.28927, 1.00519
4.04190, 0.26484, 1.24496, 0.29475, 1.00547
4.25464, 0.26716, 1.25583, 0.29502, 1.00559
4.46737, 0.27318, 1.28416, 0.30210, 1.00537
4.68010, 0.26647, 1.29720, 0.28599, 1.00512
4.89283, 0.26659, 1.57337, 0.28653, 1.00521
5.10556, 0.25170, 1.57317, 0.26993, 1.00500
5.31829, 0.25490, 1.49463, 0.27002, 0.40581
5.53103, 0.25807, 1.44888, 0.27057, 0.40581
5.74376, 0.25245, 1.45208, 0.26177, 0.40581
5.95649, 0.23938, 1.43824, 0.26223, 0.40586
6.16922, 0.23688, 1.43988, 0.24834, 0.40584
6.38195, 0.23833, 1.44314, 0.24903, 0.40580
6.59469, 0.24269, 1.43538, 0.24389, 0.40581
6.80742, 0.26534, 1.45260, 0.24446, 0.40580
7.02015, 0.26400, 1.38335, 0.24447, 0.40584
7.23288, 0.26425, 1.28289, 0.24469, 0.40581
7.44561, 0.26286, 1.26290, 0.24539, 0.40580
7.65834, 0.26147, 1.26745, 0.24998, 0.40585
7.87108, 0.26170, 1.25596, 0.23810, 0.40590
8.08381, 0.26315, 1.15112, 0.23728, 0.40594
8.29654, 0.26447, 1.15366, 0.23372, 0.40582
8.50927, 0.26564, 1.14855, 0.23469, 0.40582
8.72200, 0.26569, 1.11431, 0.23755, 0.40585
8.93474, 0.26635, 1.10393, 0.23732, 0.40590
9.14747, 0.27079, 1.11139, 0.23475, 0.40587
9.36020, 0.27421, 1.10803, 0.23455, 0.40587
9.57293, 0.28073, 1.12507, 0.23538, 0.24332
9.78566, 0.28072, 1.13117, 0.23253, 0.23821
9.99839, 0.27700, 1.17174, 0.22591, 0.23824
10.21113, 0.26699, 1.19340, 0.22601, 0.23824
10.42386, 0.26732, 1.15101, 0.22898, 0.23825
10.63659, 0.26085, 1.19840, 0.22900, 0.23825
10.84932, 0.26094, 1.20726, 0.22995, 0.23827
11.06205, 0.25387, 1.21538, 0.23101, 0.23830
11.27478, 0.25558, 1.25956, 0.23388, 0.23834
11.48752, 0.24433, 1.25975, 0.23672, 0.23840
11.70025, 0.24488, 1.27360, 0.24331, 0.23839
11.91298, 0.24101, 1.27516, 0.25622, 0.23845
12.12571, 0.23739, 1.28324, 0.25739, 0.23845
12.33844, 0.23837, 1.32587, 0.25198, 0.23845
12.55118, 0.23368, 1.36476, 0.24668, 0.23840
12.76391, 0.23236, 1.39686, 0.24682, 0.23841
12.97664, 0.23084, 1.38477, 0.25170, 0.23841
13.18937, 0.23054, 1.37361, 0.25176, 0.23841
